fid,objectid,poi_id,kategorie,name,anzahl_pp,markierung,sicherheit,dach,signalisation,bemerkung,gebuehr,oeffentlicher_grund,objid,bezeichnun,name_2,entstehung
"1","2243",vap2243,Zweirad,Velo,"8",,,,,für Kantonsverwaltung,"0",öffentlicher Grund,"1",Kreis 6,6,"4"
"2","2242",vap2242,Zweirad,Velo,"4",,,,,für Kantonsverwaltung,"0",öffentlicher Grund,"1",Kreis 6,6,"4"
"3","1930",vap1930,Zweirad,Velo,"24",,,,,,"0",öffentlicher Grund,"1",Kreis 6,6,"4"
"4","1929",vap1929,Zweirad,Velo,"12",,,,,,"0",öffentlicher Grund,"1",Kreis 6,6,"4"
"5","15415",vap15415,Zweirad,Motorrad,"1",,,,,im Parkhaus Marriot I,gebührenpflichtig,öffentlicher Grund,"1",Kreis 6,6,"4"
"6","16045",vap16045,Zweirad,Beide,"50",,,,,,"0",öffentlicher Grund,"1",Kreis 6,6,"4"
"7","14766",vap14766,Zweirad,Beide,"18",,,,,,"0",öffentlicher Grund,"1",Kreis 6,6,"4"
"8","113",vap113,Zweirad,Beide,"8",,,,,,"0",öffentlicher Grund,"1",Kreis 6,6,"4"
"9","1748",vap1748,Zweirad,Beide,"3",,,,,,"0",öffentlicher Grund,"1",Kreis 6,6,"4"
"10","2065",vap2065,Zweirad,Beide,"25",,,,,,"0",öffentlicher Grund,"1",Kreis 6,6,"4"
"11","2064",vap2064,Zweirad,Beide,"7",,,,,,"0",öffentlicher Grund,"1",Kreis 6,6,"4"
"12","104901",vap104901,Zweirad,Beide,"8",,,,,,"0",öffentlicher Grund,"1",Kreis 6,6,"4"
"13","104463",vap104463,Zweirad,Velo,"114",,,,,,"0",öffentlicher Grund,"1",Kreis 6,6,"4"
"14","22260",vap22260,Zweirad,Velo,"8",,,,,Schule Turner,"0",öffentlicher Grund,"1",Kreis 6,6,"4"
"15","22259",vap22259,Zweirad,Velo,"12",,,,,Schule Röslistrasse,"0",öffentlicher Grund,"1",Kreis 6,6,"4"
"16","22258",vap22258,Zweirad,Velo,"6",,,,,Schule Röslistrasse,"0",öffentlicher Grund,"1",Kreis 6,6,"4"
"17","22257",vap22257,Zweirad,Velo,"24",,,,,Schule Riedtli,"0",öffentlicher Grund,"1",Kreis 6,6,"4"
"18","22256",vap22256,Zweirad,Velo,"12",,,,,Schule Riedtli,"0",öffentlicher Grund,"1",Kreis 6,6,"4"
"19","22255",vap22255,Zweirad,Velo,"16",,,,,Schule Riedtli,"0",öffentlicher Grund,"1",Kreis 6,6,"4"
"20","4940",vap4940,Zweirad,Velo,"6",,,,,,"0",öffentlicher Grund,"1",Kreis 6,6,"4"
"21","105070",vap105070,Zweirad,Velo,"10",,,,,Gemäss örtlicher Signalisation,"0",öffentlicher Grund,"1",Kreis 6,6,"4"
"22","1928",vap1928,Zweirad,Motorrad,"18",,,,,"Im Parkhaus ""Stampfenbach""",gebührenpflichtig,öffentlicher Grund,"1",Kreis 6,6,"4"
"23","4939",vap4939,Zweirad,Motorrad,"5",,,,,,"0",öffentlicher Grund,"1",Kreis 6,6,"4"
"24","11967",vap11967,Zweirad,Motorrad,"3",,,,,,"0",öffentlicher Grund,"1",Kreis 6,6,"4"
"25","104629",vap104629,Zweirad,Motorrad,"5",,,,,,"0",öffentlicher Grund,"1",Kreis 6,6,"4"
"26","313",vap313,Zweirad,Beide,"4",,,,,,"0",öffentlicher Grund,"1",Kreis 6,6,"4"
"27","314",vap314,Zweirad,Beide,"3",,,,,,"0",öffentlicher Grund,"1",Kreis 6,6,"4"
"28","387",vap387,Zweirad,Beide,"16",,,,,,"0",öffentlicher Grund,"1",Kreis 6,6,"4"
"29","389",vap389,Zweirad,Beide,"10",,,,,,"0",öffentlicher Grund,"1",Kreis 6,6,"4"
"30","4615",vap4615,Zweirad,Beide,"12",,,,,,"0",öffentlicher Grund,"1",Kreis 6,6,"4"
"31","12211",vap12211,Zweirad,Beide,"8",,,,,,"0",öffentlicher Grund,"1",Kreis 6,6,"4"
"32","12519",vap12519,Zweirad,Beide,"8",,,,,,"0",öffentlicher Grund,"1",Kreis 6,6,"4"
"33","12521",vap12521,Zweirad,Beide,"10",,,,,,"0",öffentlicher Grund,"1",Kreis 6,6,"4"
"34","7549",vap7549,Zweirad,Beide,"6",,,,,,"0",öffentlicher Grund,"1",Kreis 6,6,"4"
"35","12522",vap12522,Zweirad,Beide,"24",,,,,,"0",öffentlicher Grund,"1",Kreis 6,6,"4"
"36","104457",vap104457,Zweirad,Beide,"10",,,,,,"0",öffentlicher Grund,"1",Kreis 6,6,"4"
"37","16040",vap16040,Zweirad,Beide,"10",,,,,,"0",öffentlicher Grund,"1",Kreis 6,6,"4"
"38","114",vap114,Zweirad,Beide,"5",,,,,,"0",öffentlicher Grund,"1",Kreis 6,6,"4"
"39","4942",vap4942,Zweirad,Beide,"6",,,,,,"0",öffentlicher Grund,"1",Kreis 6,6,"4"
"40","16044",vap16044,Zweirad,Beide,"6",,,,,,"0",öffentlicher Grund,"1",Kreis 6,6,"4"
"41","12524",vap12524,Zweirad,Beide,"8",,,,,,"0",öffentlicher Grund,"1",Kreis 6,6,"4"
"42","12523",vap12523,Zweirad,Beide,"4",,,,,,"0",öffentlicher Grund,"1",Kreis 6,6,"4"
"43","385",vap385,Zweirad,Beide,"8",,,,,,"0",öffentlicher Grund,"1",Kreis 6,6,"4"
"44","384",vap384,Zweirad,Beide,"8",,,,,,"0",öffentlicher Grund,"1",Kreis 6,6,"4"
"45","4616",vap4616,Zweirad,Beide,"8",,,,,auf 2 Standorte verteilt,"0",öffentlicher Grund,"1",Kreis 6,6,"4"
"46","14765",vap14765,Zweirad,Beide,"6",,,,,,"0",öffentlicher Grund,"1",Kreis 6,6,"4"
"47","105010",vap105010,Zweirad,Beide,"4",,,,,,"0",öffentlicher Grund,"1",Kreis 6,6,"4"
"48","22261",vap22261,Zweirad,Beide,"18",,,,,Schule Weinberg,"0",öffentlicher Grund,"1",Kreis 6,6,"4"
"49","4614",vap4614,Zweirad,Beide,"2",,,,,,"0",öffentlicher Grund,"1",Kreis 6,6,"4"
"50","4943",vap4943,Zweirad,Beide,"6",,,,,,"0",öffentlicher Grund,"1",Kreis 6,6,"4"
"51","7553",vap7553,Zweirad,Beide,"10",,,,,,"0",öffentlicher Grund,"1",Kreis 6,6,"4"
"52","388",vap388,Zweirad,Beide,"6",,,,,,"0",öffentlicher Grund,"1",Kreis 6,6,"4"
"53","104459",vap104459,Zweirad,Beide,"24",,,,,,"0",öffentlicher Grund,"1",Kreis 6,6,"4"
"54","20328",vap20328,Zweirad,Beide,"12",,,,,beim Schulhaus Scherr / Stapfer,"0",öffentlicher Grund,"1",Kreis 6,6,"4"
"55","20329",vap20329,Zweirad,Beide,"16",,,,,beim Schulhaus Scherr / Stapfer,"0",öffentlicher Grund,"1",Kreis 6,6,"4"
"56","104730",vap104730,Zweirad,Beide,"12",,,,,,"0",öffentlicher Grund,"1",Kreis 6,6,"4"
"57","104898",vap104898,Zweirad,Velo,"35",,,,,,"0",öffentlicher Grund,"1",Kreis 6,6,"4"
"58","13443",vap13443,Zweirad,Velo,"8",,,,,,"0",öffentlicher Grund,"1",Kreis 6,6,"4"
"59","13442",vap13442,Zweirad,Velo,"8",,,,,,"0",öffentlicher Grund,"1",Kreis 6,6,"4"
"60","20326",vap20326,Zweirad,Velo,"12",,,,,,"0",öffentlicher Grund,"1",Kreis 6,6,"4"
"61","16360",vap16360,Zweirad,Velo,"30",,,,,,"0",öffentlicher Grund,"1",Kreis 6,6,"4"
"62","16359",vap16359,Zweirad,Velo,"50",,,,,,"0",öffentlicher Grund,"1",Kreis 6,6,"4"
"63","104897",vap104897,Zweirad,Velo,"35",,,,,,"0",öffentlicher Grund,"1",Kreis 6,6,"4"
"64","104896",vap104896,Zweirad,Velo,"8",,,,,,"0",öffentlicher Grund,"1",Kreis 6,6,"4"
"65","2370",vap2370,Zweirad,Velo,"18",,,,,ETH,"0",öffentlicher Grund,"1",Kreis 6,6,"4"
"66","4171",vap4171,Zweirad,Velo,"9",,,,,,"0",öffentlicher Grund,"1",Kreis 6,6,"4"
"67","16363",vap16363,Zweirad,Velo,"60",,,,,,"0",öffentlicher Grund,"1",Kreis 6,6,"4"
"68","16365",vap16365,Zweirad,Velo,"28",,,,,,"0",öffentlicher Grund,"1",Kreis 6,6,"4"
"69","16362",vap16362,Zweirad,Velo,"90",,,,,,"0",öffentlicher Grund,"1",Kreis 6,6,"4"
"70","21611",vap21611,Zweirad,Velo,"8",,,,,,"0",öffentlicher Grund,"1",Kreis 6,6,"4"
"71","21610",vap21610,Zweirad,Velo,"20",,,,,,"0",öffentlicher Grund,"1",Kreis 6,6,"4"
"72","21304",vap21304,Zweirad,Velo,"8",,,,,,"0",öffentlicher Grund,"1",Kreis 6,6,"4"
"73","21303",vap21303,Zweirad,Velo,"14",,,,,,"0",öffentlicher Grund,"1",Kreis 6,6,"4"
"74","21302",vap21302,Zweirad,Velo,"10",,,,,,"0",öffentlicher Grund,"1",Kreis 6,6,"4"
"75","3856",vap3856,Zweirad,Velo,"48",,,,,,"0",öffentlicher Grund,"1",Kreis 6,6,"4"
"76","16047",vap16047,Zweirad,Velo,"13",,,,,,"0",öffentlicher Grund,"1",Kreis 6,6,"4"
"77","104899",vap104899,Zweirad,Velo,"40",,,,,,"0",öffentlicher Grund,"1",Kreis 6,6,"4"
"78","13441",vap13441,Zweirad,Motorrad,"2",,,,,,"0",öffentlicher Grund,"1",Kreis 6,6,"4"
"79","16364",vap16364,Zweirad,Motorrad,"34",,,,,,"0",öffentlicher Grund,"1",Kreis 6,6,"4"
"80","21612",vap21612,Zweirad,Motorrad,"10",,,,,,"0",öffentlicher Grund,"1",Kreis 6,6,"4"
"81","21305",vap21305,Zweirad,Motorrad,"28",,,,,,"0",öffentlicher Grund,"1",Kreis 6,6,"4"
"82","2375",vap2375,Zweirad,Motorrad,"3",,,,,<Null>,"0",öffentlicher Grund,"1",Kreis 6,6,"4"
